46.1,13.2,211,4500
50,16.3,230,5700
48.7,14.1,210,4450
50,15.2,218,5700
47.6,14.5,215,5400
46.5,13.5,210,4550
45.4,14.6,211,4800
46.7,15.3,219,5200
43.3,13.4,209,4400
46.8,15.4,215,5150
40.9,13.7,214,4650
49,16.1,216,5550
45.5,13.7,214,4650
48.4,14.6,213,5850
45.8,14.6,210,4200
49.3,15.7,217,5850
42,13.5,210,4150
49.2,15.2,221,6300
46.2,14.5,209,4800
48.7,15.1,222,5350
50.2,14.3,218,5700
45.1,14.5,215,5000
46.5,14.5,213,4400
46.3,15.8,215,5050
42.9,13.1,215,5000
46.1,15.1,215,5100
44.5,14.3,216,4100
47.8,15,215,5650
48.2,14.3,210,4600
50,15.3,220,5550
47.3,15.3,222,5250
42.8,14.2,209,4700
45.1,14.5,207,5050
59.6,17,230,6050
49.1,14.8,220,5150
48.4,16.3,220,5400
42.6,13.7,213,4950
44.4,17.3,219,5250
44,13.6,208,4350
48.7,15.7,208,5350
42.7,13.7,208,3950
49.6,16,225,5700
45.3,13.7,210,4300
49.6,15,216,4750
50.5,15.9,222,5550
43.6,13.9,217,4900
45.5,13.9,210,4200
50.5,15.9,225,5400
44.9,13.3,213,5100
45.2,15.8,215,5300
