39.1,18.7,181,3750
39.5,17.4,186,3800
40.3,18,195,3250
36.7,19.3,193,3450
39.3,20.6,190,3650
38.9,17.8,181,3625
39.2,19.6,195,4675
34.1,18.1,193,3475
42,20.2,190,4250
37.8,17.1,186,3300
37.8,17.3,180,3700
41.1,17.6,182,3200
38.6,21.2,191,3800
34.6,21.1,198,4400
36.6,17.8,185,3700
38.7,19,195,3450
42.5,20.7,197,4500
34.4,18.4,184,3325
46,21.5,194,4200
37.8,18.3,174,3400
37.7,18.7,180,3600
35.9,19.2,189,3800
38.2,18.1,185,3950
38.8,17.2,180,3800
35.3,18.9,187,3800
40.6,18.6,183,3550
40.5,17.9,187,3200
37.9,18.6,172,3150
40.5,18.9,180,3950
39.5,16.7,178,3250
37.2,18.1,178,3900
39.5,17.8,188,3300
40.9,18.9,184,3900
36.4,17,195,3325
39.2,21.1,196,4150
38.8,20,190,3950
42.2,18.5,180,3550
37.6,19.3,181,3300
39.8,19.1,184,4650
36.5,18,182,3150
40.8,18.4,195,3900
36,18.5,186,3100
44.1,19.7,196,4400
37,16.9,185,3000
39.6,18.8,190,4600
41.1,19,182,3425
37.5,18.9,179,2975
36,17.9,190,3450
42.3,21.2,191,4150
39.6,17.7,186,3500
